Epoch,disc_loss,gen_loss
0,0.1938931941986084,2.7201309204101562
10,0.16321666538715363,7.802706718444824
20,0.16261275112628937,10.062644958496094
30,0.1625579595565796,10.4235258102417
40,0.16255423426628113,10.946892738342285
50,0.16254641115665436,11.225870132446289
60,0.16255062818527222,12.091577529907227
70,0.16254745423793793,12.513090133666992
80,0.16254647076129913,12.487698554992676
90,0.16254699230194092,12.955970764160156
100,0.16255222260951996,12.966863632202148
110,0.1625462919473648,13.465834617614746
120,0.16254834830760956,13.203280448913574
130,0.16254819929599762,13.63048267364502
140,0.16254357993602753,13.803790092468262
150,0.16254355013370514,14.076987266540527
160,0.1625441014766693,14.057768821716309
170,0.16254298388957977,14.253305435180664
180,0.1625475436449051,14.456896781921387
190,0.16254721581935883,14.393330574035645
200,0.16254203021526337,14.954092025756836
210,0.1625424474477768,14.552633285522461
220,0.16254203021526337,15.043039321899414
230,0.16254384815692902,14.867746353149414
240,0.16254538297653198,15.393257141113281
250,0.16254371404647827,15.511783599853516
260,0.16254301369190216,15.47506046295166
270,0.16254232823848724,15.353558540344238
280,0.1625472456216812,15.475448608398438
290,0.16256831586360931,15.778698921203613
300,0.1625417023897171,15.807737350463867
310,0.16254858672618866,15.957262992858887
320,0.16254611313343048,16.05009651184082
330,0.1625417321920395,15.853826522827148
340,0.16255317628383636,15.920430183410645
350,0.16254188120365143,16.11521339416504
360,0.1625431478023529,16.13481903076172
370,0.16254371404647827,16.486270904541016
380,0.1625504493713379,16.403636932373047
390,0.162541925907135,16.358617782592773
400,0.16254688799381256,16.28179931640625
410,0.16254235804080963,16.61740493774414
420,0.16254238784313202,16.630943298339844
430,0.16254176199436188,16.637081146240234
440,0.16254572570323944,16.57560157775879
450,0.16254284977912903,16.740680694580078
460,0.16254226863384247,16.482643127441406
470,0.16254208981990814,16.7481632232666
480,0.1625419557094574,16.66021728515625
490,0.16254200041294098,16.868892669677734
500,0.16254474222660065,16.48816680908203
510,0.16254322230815887,16.819393157958984
520,0.1625421792268753,17.049909591674805
530,0.1625419408082962,17.02054786682129
540,0.16254551708698273,16.978654861450195
550,0.16254226863384247,17.20878791809082
560,0.1625419557094574,16.930540084838867
570,0.16254369914531708,17.05955696105957
580,0.16254200041294098,17.128786087036133
590,0.16254551708698273,17.235349655151367
